qname	SC5314	target2
orf19.2823	CR_02640W_A	RFG1
orf19.3865	CR_06110C_A	RFX1
orf19.4590	C4_02030W_A	RFX2
orf19.4593	C4_02000C_A	RGA2
orf19.2443	C1_06020W_A	RGD1
orf19.729.1	CR_07560W_A	RGD3
orf19.695	CR_06590C_A	RGS2
orf19.2747	C4_02540W_A	RGT1
orf19.5994	C3_05180W_A	RHB1
orf19.54	C1_05000W_A	RHD1
orf19.2668	C4_03250C_A	RHD2
orf19.5305	C4_04050C_A	RHD3
orf19.2843	CR_02860W_A	RHO1
orf19.2204.2	C2_07750W_A	RHO2
orf19.3534	C2_05030C_A	RHO3
orf19.5437	C3_00320W_A	RHR2
orf19.4451	C1_07140C_A	RIA1
orf19.2862	CR_02990C_A	RIB1
orf19.5228	C1_12360C_A	RIB3
orf19.410.3	C1_05560W_A	RIB4
orf19.4024	C5_05300W_A	RIB5
orf19.6036	C1_00690W_A	RIC1
orf19.2483	C1_05680C_A	RIM1
orf19.7247	C1_14340C_A	RIM101
orf19.3995	C5_05030C_A	RIM13
orf19.7044	C7_00740W_A	RIM15
orf19.4499	C2_04510W_A	RIM2
orf19.4800	C1_09380W_A	RIM20
orf19.3176	C5_01950C_A	RIM21
orf19.6091	C1_00150C_A	RIM8
orf19.101	C6_00990W_A	RIM9
orf19.6369	CR_08100C_A	RIO2
orf19.5893	C3_04430W_A	RIP1
orf19.6727	C3_07620C_A	RIT1
orf19.4219	C5_02120C_A	RIX7
orf19.1701	C3_01480C_A	RKI1
orf19.3034	C1_03350C_A	RLI1
orf19.4662	C4_01260W_A	RLM1
orf19.4191	C4_00510C_A	RLP24
orf19.4438	C1_07330W_A	RME1
orf19.4962	C1_13360C_A	RMP1
orf19.2654	C5_03250W_A	RMS1
orf19.920	C5_00680W_A	RMT2
orf19.1649	C3_01990W_A	RNA1
orf19.5563	C6_02870W_A	RNH1
orf19.6562	C7_01630W_A	RNH35
orf19.5779	C2_03160C_A	RNR1
orf19.5801	C2_03010C_A	RNR21
orf19.1868	C2_07570W_A	RNR22
orf19.5845	CR_05570C_A	RNR3
orf19.3926	C5_04400W_A	RNY11
orf19.4531	C1_01920W_A	ROA1
orf19.4998	C1_13620W_A	ROB1
orf19.1509	C2_01970C_A	ROD1
orf19.906	C2_03240C_A	ROM2
orf19.513	CR_04250W_A	RON1
orf19.6029	C1_00770C_A	ROT1
orf19.974	C5_00220W_A	ROT2
orf19.2287	C2_07300C_A	RPA12
orf19.7062	C7_00570W_A	RPA135
orf19.1839	C1_10670C_A	RPA190
orf19.4896	C1_10260C_A	RPA34
orf19.6010.1	C1_00940W_A	RPB11
orf19.145	C2_04650C_A	RPB4
orf19.3347	C1_01570C_A	RPB7
orf19.6314	CR_04780W_A	RPB8
orf19.7255	C1_14390W_A	RPC10
orf19.5360	C2_10770W_A	RPC11
orf19.172	CR_02520W_A	RPC19
orf19.2831	CR_02720C_A	RPC31
orf19.3564	C2_05340C_A	RPC40
orf19.2715	C4_02800W_A	RPC53
orf19.2834	CR_02760C_A	RPD3
orf19.6801	C3_07000W_A	RPD31
orf19.2667	C4_03270W_A	RPF1
orf19.3553	C2_05230C_A	RPF2
orf19.6345	C1_12770W_A	RPG1A
orf19.2935	C1_02460W_A	RPL10
orf19.3465	C6_02240C_A	RPL10A
orf19.2232	C2_06810C_A	RPL11
orf19.1635	C3_02110W_A	RPL12
orf19.2994	C1_03020C_A	RPL13
orf19.4931.1	C1_13050W_A	RPL14
orf19.493	CR_04100C_A	RPL15A
orf19.6085	C1_00180W_A	RPL16A
orf19.4490	C2_04600C_A	RPL17B
orf19.5982	C3_05100C_A	RPL18
orf19.5904	C3_04500C_A	RPL19A
orf19.2309.2	C1_11060C_A	RPL2
orf19.4632	C4_01520C_A	RPL20B
orf19.840	C2_03810C_A	RPL21A
orf19.3504	C6_02070C_A	RPL23A
orf19.3789	C4_04890C_A	RPL24A
orf19.687.1	C6_01970C_A	RPL25
orf19.5225.2	C1_12390C_A	RPL27A
orf19.2864.1	CR_03030C_A	RPL28
orf19.2310.1	C1_11040W_A	RPL29
orf19.1601	C2_09430W_A	RPL3
orf19.3788.1	C4_04900W_A	RPL30
orf19.3415.1	C6_01700W_A	RPL32
orf19.5964.2	C3_04960W_A	RPL35
orf19.667.1	C1_11360W_A	RPL37B
orf19.2111.2	C2_00210W_A	RPL38
orf19.827.1	C2_03960W_A	RPL39
orf19.4684.2	C4_01050C_A	RPL40B
orf19.4909.1	C1_10390C_A	RPL42
orf19.3942.1	C5_04590C_A	RPL43A
orf19.7217	C1_14110C_A	RPL4B
orf19.6541	C7_01790C_A	RPL5
orf19.3003.1	C1_03110W_A	RPL6
orf19.3867	CR_06120W_A	RPL7
orf19.2311	C1_11030W_A	RPL82
orf19.6002	C3_05240C_A	RPL8B
orf19.236	C3_02470C_A	RPL9B
orf19.48	C1_04950C_A	RPM2
orf19.4956	C1_13300C_A	RPN1
orf19.4102	C2_06150C_A	RPN10
orf19.5260	C1_12050W_A	RPN2
orf19.3054	C1_03520W_A	RPN3
orf19.1069	C1_04330W_A	RPN4
orf19.4032	C5_05380W_A	RPN5
orf19.1299	C4_03790W_A	RPN6
orf19.7286	CR_08910C_A	RPN7
orf19.3168	C5_02030W_A	RPN8
orf19.7655	CR_10680W_A	RPO21
orf19.2643	C5_03360W_A	RPO26
orf19.6041	C1_00640C_A	RPO41
orf19.7015	C7_00990W_A	RPP0
orf19.1029	C1_03800W_A	RPP1
orf19.2992	C1_03010W_A	RPP1A
orf19.7188	C7_03920C_A	RPP1B
orf19.6403.1	CR_08360C_A	RPP2A
orf19.5928	C3_04680W_A	RPP2B
orf19.544	CR_04540C_A	RPR2
orf19.3002	C1_03090W_A	RPS1
orf19.2179.2	C2_08040C_A	RPS10
orf19.6785	C3_07150C_A	RPS12
orf19.4193.1	C6_00650C_A	RPS13
orf19.6265.1	C1_06450C_A	RPS14B
orf19.5927	C3_04670C_A	RPS15
orf19.2994.1	C1_03030W_A	RPS16A
orf19.2329.1	C1_10870W_A	RPS17B
orf19.7018	C7_00960W_A	RPS18
orf19.5996.1	C3_05200W_A	RPS19A
orf19.6375	CR_08150W_A	RPS20
orf19.3334	C1_01480C_A	RPS21
orf19.3325.3	C1_01370C_A	RPS21B
orf19.6265	C1_06460C_A	RPS22A
orf19.6253	C1_06580W_A	RPS23A
orf19.5466	C3_00090W_A	RPS24
orf19.6663	C5_03540C_A	RPS25B
orf19.1470	C2_01610C_A	RPS26A
orf19.6286.2	CR_07630C_A	RPS27
orf19.413.1	C1_05510C_A	RPS27A
orf19.7048.1	C7_00710W_A	RPS28B
orf19.6312	CR_04810W_A	RPS3
orf19.4375.1	CR_03770C_A	RPS30
orf19.3354	C1_01640W_A	RPS42
orf19.5341	C2_10620W_A	RPS4A
orf19.4336	C5_03070W_A	RPS5
orf19.4660	C4_01270W_A	RPS6A
orf19.1700	C3_01490W_A	RPS7A
orf19.6873	C2_05610C_A	RPS8A
orf19.838.1	C2_03820C_A	RPS9B
orf19.441	C1_05240C_A	RPT1
orf19.5440	C3_00290W_A	RPT2
orf19.482	CR_04000W_A	RPT4
orf19.3123	C4_06870W_A	RPT5
orf19.3593	C2_08780W_A	RPT6
orf19.6792	C3_07080W_A	RRD1
orf19.718	CR_06480C_A	RRN11
orf19.1923	C2_00030W_A	RRN3
CaalfMr16	CM_00010W	RRNL
CaalfMr17	CM_00360W	RRNS
orf19.563	C2_09380W_A	RRP15
orf19.5039	C4_03840C_A	RRP42
orf19.58	C1_05050C_A	RRP6
orf19.3630	C2_08480W_A	RRP8
orf19.2830	CR_02710W_A	RRP9
orf19.6014	C1_00900W_A	RRS1
orf19.414	C1_05500W_A	RSM22
orf19.347	C3_03490W_A	RSN1
orf19.3628	C2_08500W_A	RSP5
orf19.2614	CR_02140W_A	RSR1
orf19.24	C2_06470W_A	RTA2
orf19.23	C2_06460W_A	RTA3
orf19.6595	CR_09680C_A	RTA4
orf19.7047	C7_00720W_A	RTF1
orf19.4722	C1_08640W_A	RTG1
orf19.2315	C1_10990C_A	RTG3
orf19.20	C2_06420C_A	RTS1
orf19.2440	C1_06040W_A	RTT101
orf19.7491	CR_00410W_A	RTT109
orf19.330.1	C3_03320W_A	RUB1
orf19.6539	C7_01810W_A	RVB2
orf19.7124	C7_00020C_A	RVS161
orf19.6349	C1_12730W_A	RVS162
orf19.1220	C6_04040C_A	RVS167
orf19.3568	C2_05370C_A	RXT3
orf19.4865	C1_09990W_A	SAC1
orf19.1555	C2_02350C_A	SAC3
orf19.5544	C6_02730W_A	SAC6
orf19.7115	C7_00080C_A	SAC7
orf19.3911	C5_04270C_A	SAH1
orf19.5758	C6_03830W_A	SAL6
orf19.657	C1_11450C_A	SAM2
orf19.7267	C1_14490C_A	SAM35
orf19.1532	C2_02160W_A	SAM37
orf19.386	C1_08410C_A	SAM4
orf19.7358	C3_05770C_A	SAM50
orf19.925	C5_00640C_A	SAM51
orf19.5714	C6_03490C_A	SAP1
orf19.3839	C4_04470W_A	SAP10
orf19.3708	CR_07800W_A	SAP2
orf19.6001	C3_05230W_A	SAP3
orf19.2082	C2_00460W_A	SAP30
orf19.5716	C6_03500C_A	SAP4
orf19.5585	C6_03030W_A	SAP5
orf19.5542	C6_02710C_A	SAP6
orf19.756	C1_04870W_A	SAP7
orf19.242	C3_02510C_A	SAP8
orf19.6928	C3_03870C_A	SAP9
orf19.852	C2_03680W_A	SAP98
orf19.853	C2_03670W_A	SAP99
orf19.3462	C6_02220W_A	SAR1
orf19.2717	C4_02790C_A	SAS10
orf19.2087	C2_00440W_A	SAS2
orf19.2540	CR_01540W_A	SAS3
orf19.5749	C6_03750C_A	SBA1
orf19.5854	C3_04090W_A	SBP1
orf19.829	C2_03940C_A	SCH9
orf19.5378	C3_00770C_A	SCL1
orf19.7325	CR_09300C_A	SCO1
orf19.17	C2_06370C_A	SCP1
orf19.3822	C4_04590W_A	SCS7
orf19.1289	C3_00820W_A	SCT1
orf19.5815	C2_02890W_A	SCT2
orf19.3893	C5_04110W_A	SCW11
orf19.2941	C1_02520W_A	SCW4
orf19.6648	CR_05660W_A	SDA1
orf19.3899	C5_04160W_A	SDC1
orf19.440	C1_05260C_A	SDH1
orf19.2871	C4_06610C_A	SDH12
orf19.637	CR_05180C_A	SDH2
orf19.4022	C5_05280C_A	SDH4
orf19.820	C2_04020C_A	SDS22
orf19.5118	C1_08370W_A	SDS24
orf19.6479	C7_02320W_A	SEC1
orf19.3086	C4_07190W_A	SEC10
orf19.3409	C6_01760W_A	SEC12
orf19.316	C3_03170W_A	SEC13
orf19.941	C5_00480C_A	SEC14
orf19.1418	C4_04290W_A	SEC15
orf19.4993	C1_13580W_A	SEC18
orf19.4928	C1_12970C_A	SEC2
orf19.5526	C6_02570C_A	SEC20
orf19.759	C1_04830W_A	SEC21
orf19.479.2	CR_03970C_A	SEC22
orf19.1254	C4_05690W_A	SEC23
orf19.4732	C1_08740C_A	SEC24
orf19.528	CR_04380C_A	SEC26
orf19.3467	C6_02260C_A	SEC27
orf19.2911	C4_06250C_A	SEC3
orf19.4440	C1_07270W_A	SEC34
orf19.2571	CR_01750C_A	SEC4
orf19.74	C6_04170C_A	SEC5
orf19.5463	C3_00110C_A	SEC6
orf19.6176	C3_07810C_A	SEC61
orf19.3031	C1_03340C_A	SEC62
orf19.491	CR_04080C_A	SEC63
orf19.2557	CR_01660C_A	SEC65
orf19.5947	C3_04820C_A	SEC7
orf19.4180	C4_00630C_A	SEC72
orf19.3647	C6_00780W_A	SEC8
orf19.117	C6_01100W_A	SEC9
orf19.3753	CR_02190C_A	SEF1
orf19.1926	C5_01400W_A	SEF2
orf19.2186	C2_07950W_A	SEH1
orf19.5938	C3_04760C_A	SEN1
orf19.4464	C1_03900W_A	SEN15
orf19.2735	C4_02640C_A	SEN2
orf19.700	CR_06660W_A	SEO1
orf19.5484	C2_06210C_A	SER1
orf19.5838	C2_02690W_A	SER2
orf19.5263	C1_12030W_A	SER33
orf19.269	C3_02780W_A	SES1
orf19.6009	C1_00960C_A	SET1
orf19.1755	C2_10250C_A	SET2
orf19.7221	C1_14140C_A	SET3
orf19.3665	C1_02080W_A	SET6
orf19.3931	C5_04440C_A	SFC1
orf19.4897	C1_10270C_A	SFH5
orf19.5163	C7_02980C_A	SFI1
orf19.454	CR_05990C_A	SFL1
orf19.3969	C5_04830W_A	SFL2
orf19.5953	C3_04860W_A	SFP1
orf19.3234.1	CR_01190C_A	SFT1
orf19.2342	C1_10770W_A	SFT2
orf19.4869	C1_10020W_A	SFU1
orf19.1719	C3_01320C_A	SGA1
orf19.4363	CR_03650W_A	SGD1
orf19.1942	C5_01270W_A	SGE1
orf19.3550	C2_05200C_A	SGO1
orf19.5335	C2_10570W_A	SGS1
orf19.4089	C2_09270C_A	SGT1
orf19.5823	C2_02830C_A	SGT2
orf19.3669	C1_02120C_A	SHA3
orf19.5595	C6_03100W_A	SHE3
orf19.5796	C2_03050W_A	SHE9
orf19.1342	C7_03330C_A	SHM1
orf19.5750	C6_03760C_A	SHM2
orf19.2549	CR_01610C_A	SHP1
orf19.4841	C1_09760C_A	SHY1
orf19.7569	CR_09950C_A	SIK1
orf19.5032	C1_13940W_A	SIM1
orf19.6011	C1_00930C_A	SIN3
orf19.2458	C1_05910W_A	SIP5
orf19.1992	C2_01330C_A	SIR2
orf19.3861	CR_06080W_A	SIS1
orf19.2179	C2_08050C_A	SIT1
orf19.5200	C1_04380W_A	SIT4
orf19.1850	CR_06830C_A	SIW14
orf19.3345	C1_01560W_A	SIZ1
orf19.6425	CR_08570W_A	SKI2
orf19.4848	C1_09830W_A	SKI3
orf19.5764	C6_03890C_A	SKI8
orf19.7362	C3_05810C_A	SKN1
orf19.348	C3_03500W_A	SKN2
orf19.971	C5_00240W_A	SKN7
orf19.1032	C1_03770W_A	SKO1
orf19.4427	C1_07410C_A	SKP1
orf19.1474	C2_01640W_A	SLA1
orf19.7201	C7_03810W_A	SLA2
orf19.250	C3_02600C_A	SLC1
orf19.260	C3_02680C_A	SLD1
orf19.7631	CR_10520C_A	SLD5
orf19.6826	C3_06780C_A	SLF1
orf19.6763	C3_07310C_A	SLK19
orf19.3505	C6_02060W_A	SLM2
orf19.3256	CR_01000C_A	SLN1
orf19.4079	C2_09170W_A	SLP2
orf19.7296	CR_08990C_A	SLP3
orf19.1750	C2_10290W_A	SLR1
orf19.6827	C3_06770W_A	SLU7
orf19.4199	C6_00590W_A	SLY41
orf19.4367	CR_03680C_A	SMC1
orf19.3623	C2_08560W_A	SMC2
orf19.262	C3_02700W_A	SMC3
orf19.964	C5_00300C_A	SMC4
orf19.2417	CR_03100W_A	SMC5
orf19.6568	C7_01580W_A	SMC6
orf19.5486.1	C2_06240W_A	SMD2
orf19.4146	C5_01510W_A	SMD3
orf19.2270	C2_07160W_A	SMF12
orf19.2069	C2_00580C_A	SMF3
orf19.5058	C1_07870C_A	SMI1
orf19.6972	C3_05350C_A	SMI1B
orf19.1362	C2_09890W_A	SMM1
orf19.1462	C2_01550W_A	SMP2
orf19.5792	C2_03070C_A	SMP3
orf19.670	C1_11330C_A	SMT3
orf19.6135.1	CR_07330W_A	SMX4
orf19.1936	C5_01320W_A	SNF1
orf19.1526	C2_02100W_A	SNF2
orf19.5768	C6_03920W_A	SNF4
orf19.5871	C3_04290C_A	SNF5
orf19.831	C2_03930C_A	SNF6
orf19.6040	C1_00650C_A	SNF7
orf19.1333	C7_03420C_A	SNG3
orf19.1332	C7_03440W_A	SNG4
orf19.997	C1_10530W_A	SNL1
orf19.1927	C5_01390C_A	SNM1
orf19.2948	C1_02600W_A	SNO1
orf19.514	CR_04260W_A	SNP3
orf19.5759	C6_03840C_A	SNQ2
snR52	C3_07510C_A	SNR52
SNRNAU6	C3_05500W_A	SNR6
orf19.5241	C1_12230W_A	SNT1
orf19.144	C2_04640C_A	SNU114
orf19.1990	C2_01350C_A	SNX4
orf19.2947	C1_02590C_A	SNZ1
orf19.2770.1	C4_02320C_A	SOD1
orf19.3340	C1_01520C_A	SOD2
orf19.7111.1	C7_00110W_A	SOD3
orf19.2062	C2_00660C_A	SOD4
orf19.2060	C2_00680C_A	SOD5
orf19.2108	C2_00240C_A	SOD6
orf19.5407	C3_00560C_A	SOF1
orf19.4448	C1_07190W_A	SOG2
orf19.1429	C4_04210C_A	SOH1
orf19.451	CR_06000W_A	SOK1
orf19.6930	C3_03850C_A	SOL1
orf19.704	CR_06700C_A	SOL3
orf19.2896	C4_06390W_A	SOU1
orf19.2897	C4_06380W_A	SOU2
orf19.6362	C1_12620W_A	SPA2
orf19.76	C6_04160C_A	SPB1
orf19.6298	C5_01600C_A	SPB4
orf19.4473	C1_03980W_A	SPC19
orf19.4181	C4_00620C_A	SPC2
orf19.4930	C1_13020C_A	SPC3
orf19.3788	C4_04910C_A	SPC34
orf19.2600	CR_01990C_A	SPC98
orf19.6032	C1_00740C_A	SPE1
orf19.568	C5_00700C_A	SPE2
orf19.2250	C2_06960W_A	SPE3
orf19.30	C2_06540C_A	SPF1
orf19.7081	C7_00390W_A	SPL1
orf19.4151	C5_01570C_A	SPO1
orf19.3589	C2_08820C_A	SPO11
orf19.6222	C1_06880C_A	SPO22
orf19.6885	C2_05740W_A	SPO7
orf19.4119	C2_06010W_A	SPO72
orf19.1311	C4_03670W_A	SPO75
orf19.3018	C1_03250C_A	SPP1
orf19.2237	C2_06840W_A	SPR1
orf19.4266	C5_02540C_A	SPR28
orf19.1524	C2_02070W_A	SPR3
orf19.4157	C4_00830W_A	SPS20
orf19.2361	CR_07040W_A	SPT10
orf19.487	CR_04040C_A	SPT14
orf19.422	C1_05430W_A	SPT20
orf19.1751	C2_10280C_A	SPT23
orf19.7622	CR_10450C_A	SPT3
orf19.1453	C2_01480W_A	SPT5
orf19.7136	C7_04300W_A	SPT6
orf19.7572	CR_09980W_A	SPT7
orf19.6190	C3_07950C_A	SRB1
orf19.736	C4_05090C_A	SRB8
orf19.1451	C2_01470W_A	SRB9
orf19.1510	C2_01980C_A	SRD1
orf19.1203	C6_00410C_A	SRO77
orf19.3952	C5_04670W_A	SRP101
orf19.2859	CR_02980C_A	SRP40
orf19.3243	CR_01110W_A	SRP54
orf19.5843	CR_05610C_A	SRR1
orf19.5236	C1_12270W_A	SRT1
orf19.505	CR_04190W_A	SRV2
orf19.1065	C1_04300C_A	SSA2
orf19.6367	CR_08090W_A	SSB1
orf19.1896	C2_07380W_A	SSC1
orf19.3959	C5_04730C_A	SSD1
orf19.6589	CR_09730C_A	SSF1
orf19.412	C1_05530C_A	SSH1
orf19.5031	C1_13930W_A	SSK1
orf19.3775	C4_05030C_A	SSK2
orf19.794	C2_04260W_A	SSN3
orf19.6798	C3_07020W_A	SSN6
orf19.7355	C3_05740C_A	SSN8
orf19.1376	C2_09740W_A	SSO2
orf19.5145	C7_03090C_A	SSP96
orf19.7179	C7_04010W_A	SSQ1
orf19.7030	C7_00860W_A	SSR1
orf19.4222	C5_02160W_A	SST2
orf19.7313	CR_09170C_A	SSU1
orf19.2402	CR_03210C_A	SSU72
orf19.4772	C1_09140C_A	SSU81
orf19.814	C2_04060C_A	SSY1
orf19.6422	CR_08540C_A	SSY5
orf19.3812	C4_04700W_A	SSZ1
orf19.203	C2_09010W_A	STB3
orf19.3308	C1_01200W_A	STB5
orf19.6173	C3_07790W_A	STD1
orf19.844	C2_03770C_A	STE11
orf19.5851	CR_05510W_A	STE13
orf19.6551.1	C7_01730C_A	STE18
orf19.696	CR_06610W_A	STE2
orf19.5561	C6_02860W_A	STE23
orf19.5654	C4_00280W_A	STE24
orf19.2492	C1_05620C_A	STE3
orf19.799	C2_04210W_A	STE4
orf19.1636	C3_02100W_A	STE50
orf19.2107.1	C2_00250W_A	STF2
orf19.3192	C5_01820W_A	STI1
orf19.3631	C2_08470C_A	STN1
orf19.5917	C3_04580C_A	STP1
orf19.4961	C1_13350W_A	STP2
orf19.909	C2_03220C_A	STP4
orf19.1033	C1_03760C_A	STR2
orf19.1478	C2_01670C_A	STT3
orf19.1814	CR_07090W_A	STT4
orf19.1190	C6_00300C_A	STV1
orf19.3059	C1_03560C_A	SUA71
orf19.3519	CR_05490W_A	SUA72
orf19.5647	C4_00220C_A	SUB2
orf19.7319	CR_09210W_A	SUC1
orf19.1280	C5_04090C_A	SUI1
orf19.6213	C1_06960W_A	SUI2
orf19.7161	C7_04130C_A	SUI3
orf19.2738	C4_02610C_A	SUL2
orf19.3642	C6_00820W_A	SUN41
orf19.1378	C2_09720W_A	SUP35
orf19.5818	C2_02860W_A	SUR2
orf19.3414	C6_01720C_A	SUR7
orf19.4342	C5_03130W_A	SUT1
orf19.4519	C2_04350C_A	SUV3
orf19.6068	C1_00400W_A	SVF1
orf19.7492	CR_00400C_A	SWC4
orf19.5388	C3_00690C_A	SWD1
orf19.2790	C1_07550W_A	SWD2
orf19.3457	C6_02170C_A	SWD3
orf19.4867	C1_10010C_A	SWE1
orf19.5657	C4_00300C_A	SWI1
orf19.4545	C1_01790W_A	SWI4
orf19.4725	C1_08670W_A	SWI6
orf19.1871	C2_07560W_A	SWR1
orf19.768	C1_04760C_A	SYG1
orf19.2411	CR_03140C_A	SYN8
orf19.7128	C7_04330C_A	SYS1
orf19.2410	CR_03150W_A	SYS3
CaalfMt18	CM_00020W	tA(UGC)3mt
orf19.3188	C5_01840C_A	TAC1
orf19.6820	C3_06820C_A	TAF12
orf19.470	CR_03910C_A	TAF12L
orf19.798	C2_04220C_A	TAF14
orf19.6193	C1_07110W_A	TAF145
orf19.5174	C7_02870C_A	TAF19
orf19.1885	C2_07460W_A	TAF4
orf19.7454	C3_06650C_A	TAF60
orf19.4371	CR_03720W_A	TAL1
orf19.6834.10	CR_08820C_A	TAR1
orf19.4096	C2_09350W_A	TAZ1
orf19.801	C2_04200W_A	TBF1
orf19.1837	C1_10660W_A	TBP1
CaalfMt28	CM_00190C	tC(GCA)3mt
orf19.6734	C3_07560W_A	TCC1
orf19.761	C1_04810W_A	TCO89
orf19.401	C1_08560W_A	TCP1
CaalfMt37	CM_00400W	tD(GUC)8mt
orf19.6814	C3_06870W_A	TDH3
CaalfMt25	CM_00130W	tE(UUC)8mt
CaalfMt42	CM_00460C	tE(UUC)9mt
orf19.6985	C3_05470W_A	TEA1
orf19.5908	C3_04530C_A	TEC1
orf19.1435	C2_08370C_A	TEF1
orf19.382	C1_08380W_A	TEF2
orf19.2652	C5_03270W_A	TEF4
orf19.5580	C6_03010W_A	TEL1
orf19.3001	C1_03080C_A	TEM1
orf19.3255	CR_01010W_A	TEN1
orf19.3699	C7_02650W_A	TEP1
orf19.5089	C1_08130C_A	TERT
orf19.5217	C2_05970C_A	TES1
orf19.5215	C2_05950C_A	TES15
CaalfMt33	CM_00290W	tF(GAA)6mt
orf19.4851	C1_09860C_A	TFA1
orf19.567	C5_00690C_A	TFB3
orf19.274	C3_02830W_A	TFC4
orf19.4585	C4_02060C_A	TFG1
orf19.1680	C3_01630W_A	TFP1
orf19.1974	C5_00930C_A	TFS1
CaalfMt29	CM_00200C	tG(UCC)3mt
orf19.4982	C1_13510C_A	TGL99
CaalfMt23	CM_00110W	tH(GUG)4mt
CaalfMt44	CM_00480C	tH(GUG)5mt
orf19.7063	C7_00560C_A	THG1
orf19.7324	CR_09290W_A	THI13
orf19.889	C2_03370W_A	THI20
orf19.5986	C3_05130C_A	THI4
orf19.277	C3_02860W_A	THI6
orf19.923	C5_00650C_A	THR1
orf19.4233	C5_02270W_A	THR4
orf19.5685	C5_00110C_A	THS1
CaalfMt26	CM_00150C	tI(GAU)1mt
orf19.3324	C1_01350C_A	TIF
orf19.5351	C2_10710W_A	TIF11
orf19.3423	C6_01630W_A	TIF3
orf19.2967	C1_02790W_A	TIF34
orf19.7236	C1_14260C_A	TIF35
orf19.3599	C2_08760C_A	TIF4631
orf19.4261	C5_02490C_A	TIF5
orf19.4577.3	C4_02140C_A	TIM10
orf19.4620	C4_01740W_A	TIM12
orf19.2754	C4_02480C_A	TIM13
orf19.150	C2_04680W_A	TIM17
orf19.3691	C1_02350W_A	TIM21
orf19.1352	C2_08310W_A	TIM22
orf19.1361	C2_09900C_A	TIM23
orf19.5444	C3_00250C_A	TIM44
orf19.680	C1_11220C_A	TIM50
orf19.5143	C7_03120W_A	TIM54
orf19.6183	C3_07890W_A	TIM8
orf19.6696	C7_03630C_A	TIM9
orf19.3951	C5_04660C_A	TIP1
orf19.6729	C3_07610W_A	TIP120
orf19.4003	C5_05110C_A	TIP20
orf19.3937	C5_04520W_A	TIP41
CaalfMt20	CM_00080C	tK(UUU)6mt
CaalfMt47	CM_00510W	tK(UUU)7mt
orf19.5112	C1_08320W_A	TKL1
CaalfMt21	CM_00090W	tL(UAA)6mt
CaalfMt46	CM_00500C	tL(UAA)7mt
CaalfMt40	CM_00430W	tL(UAG)1mt
orf19.1538	C2_02210C_A	TLG2
orf19.7544	CR_00020W_A	TLO1
orf19.3074	C4_07250C_A	TLO10
orf19.5700	C5_00010W_A	TLO11
orf19.6337	C6_00030W_A	TLO13
orf19.7127	C7_04360C_A	TLO16
orf19.2661	C1_06180W_A	TLO34
orf19.7276.1	C1_14590C_A	TLO4
orf19.1925	C2_00010W_A	TLO5
orf19.5467	C3_00060W_A	TLO7
orf19.6191	C3_07970C_A	TLO8
orf19.362	C4_00010W_A	TLO9
CaalfMt35	CM_00350W	tM(CAU)5mt
CaalfMt41	CM_00450W	tM(CAU)6mt
orf19.3268	CR_00860C_A	TMA19
CaalfMt19	CM_00040W	tN(GUU)5mt
orf19.4335	C5_03060C_A	TNA1
orf19.4625	C4_01680W_A	TOA2
orf19.4175	C4_00670W_A	TOK1
orf19.5776	C2_03180C_A	TOM1
orf19.2953	C1_02640C_A	TOM20
orf19.3696	C7_02680W_A	TOM22
orf19.6524	C7_01970C_A	TOM40
orf19.1650	C3_01980C_A	TOM6
orf19.6531.1	C7_01890C_A	TOM7
orf19.3700	C7_02640W_A	TOM70
orf19.96	C6_00950C_A	TOP1
orf19.2873	C4_06600W_A	TOP2
orf19.2290	C2_07330W_A	TOR1
orf19.1690	C3_01550C_A	TOS1
orf19.668	C1_11350C_A	TOS4
CaalfMt27	CM_00180C	tP(UGG)6mt
orf19.6810	C3_06910C_A	TPD3
orf19.6745	C3_07440W_A	TPI1
orf19.4892	C1_10220C_A	TPK1
orf19.2277	C2_07210C_A	TPK2
orf19.6414.3	CR_08460W_A	TPM2
orf19.7148	C7_04250W_A	TPO2
orf19.4737	C1_08790W_A	TPO3
orf19.473	CR_03920C_A	TPO4
orf19.151	C2_04690C_A	TPO5
orf19.6640	CR_05720W_A	TPS1
orf19.3038	C1_03380W_A	TPS2
orf19.5348	C2_10690W_A	TPS3
orf19.5432	C3_00350W_A	TPT1
CaalfMt36	CM_00390W	tQ(UUG)6mt
CaalfMt34	CM_00300W	tR(ACG)3mt
CaalfMt30	CM_00260W	tR(UCU)6mt
orf19.139	C6_01320W_A	TRA1
orf19.600	CR_07960C_A	TRK1
orf19.3265	CR_00900W_A	TRM1
orf19.7369	C3_05890W_A	TRM12
orf19.3327	C1_01380C_A	TRM2
orf19.6378	CR_08180C_A	TRM9
orf19.6096	C1_00120C_A	TRP1
orf19.2546	CR_01590C_A	TRP2
orf19.5243	C1_12210W_A	TRP3
orf19.3099	C4_07090C_A	TRP4
orf19.4718	C4_06110C_A	TRP5
orf19.424	C1_05410C_A	TRP99
orf19.4290	C5_02710W_A	TRR1
orf19.3314	C1_01260C_A	TRS20
orf19.6496	C7_02180C_A	TRS33
orf19.7611	CR_10350C_A	TRX1
orf19.1976	C5_00910C_A	TRX2
orf19.4062	C1_05090W_A	TRY2
orf19.1971	C5_00980W_A	TRY3
orf19.5975	C3_05050W_A	TRY4
